RefSeq	logFC
NM_004163	0.0399574577568821
NM_005341	0.9286000872722492
NM_002738	-0.0006197769389585939
NM_198689	0.05234988380234475
NM_018285	0.9492402757892646
NM_014972	0.7342839625606323
NM_016353	-0.5070432378878208
NM_153034	-0.14350472315990168
NM_033302	-0.00017868435723859474
NM_001010984	-0.5671322161186612
NM_004217	-0.03584705980673328
NM_001033557	-0.2221965690390685
NM_015607	0.3247649797579614
NM_022347	-0.3115968926840222
NM_001042437	1.0058585219889522
NM_015719	-0.2451836784566833
NM_005366	0.03842183038352516
NM_182607	0.07668247973893992
NM_001014977	-0.07444572491634367
NM_133459	-0.12528968974160187
NM_005522	0.15009011953545653
NM_080705	-0.14425055165883802
NM_178034	-0.1996701358515074
NM_000925	-0.10631914012381233
NM_001007098	0.10490120521616912
NM_183242	-0.031128033325142
NR_002563	-0.14865958910510887
NM_004892	0.22381775543803964
NM_001085474	0.08759802517151966
NM_001002811	-0.10278140745637504
NM_020665	-2.057253958186882
NM_032648	-0.07424784687728465
NM_016391	0.618707041896763
NM_001005161	-0.1563509955088149
NM_031458	-0.8801549666943858
NM_012338	0.6653651272771378
NM_001258	0.06479900592308398
NR_003059	0.048981250725849225
NM_001080437	0.08072223830280563
NM_032503	0.023520684259254392
NM_020240	-0.21726731699698093
NM_181715	0.22862925649270505
NM_001012968	-0.6862296254090559
NR_015362	-0.08871097909774586
NM_181783	-0.6255949718886749
NM_006545	0.9483706591793368
NR_003200	0.1298682327561979
NM_001748	-1.0140591619646642
NM_005682	-0.049620775814216776
NM_017655	0.12432921546612452
NM_002493	-0.12066382981307135
NM_004911	0.041959904808235145
NM_145333	-0.5731744776669134
NR_029695	0.08898055812317485
NM_001037498	-0.025328109985827785
NM_001034954	-1.5263855990172022
NM_032346	0.7610638846593262
NM_133631	0.16476672082107782
NM_001714	-0.1290493255335975
NM_005472	-0.04696380241041459
NM_052849	1.1750300293326543
NM_002068	0.2184549029146372
NM_000800	0.08806559050047613
NR_001538	0.04468839862798042
NM_020696	-0.41639277374529493
NM_000901	0.6070016726840771
NM_002987	0.028025327261688
NM_017993	0.05266039868242461
NM_001008657	-0.02754254029210665
NM_152902	-0.30126236650194915
NM_080661	0.02347461010657428
NM_000878	-0.2042633519128738
NM_001031685	-0.6828980428474821
NM_003831	-0.9425118295935973
NM_199293	-2.0641755988572386
NM_001002844	0.06364675197461657
NM_004833	-0.569626721237149
NR_002733	-1.3435446063453544
NM_005858	-0.20294246185057435
NM_018361	-0.2510608191625637
NM_024771	-0.18958794291444245
NM_017816	0.015966733383360132
NM_172374	-0.1287067997862135
NM_022048	-0.06939125651671675
NM_018359	-0.057566034808594437
NM_014020	-0.17155316094411802
NM_182487	-0.3442171536305168
NM_007101	0.08742940627256382
NM_172207	0.019733305232975944
NM_033318	0.5926030795624533
NM_003618	-0.9524875632241544
NM_001085458	-0.4608159646212816
NM_033018	0.03447946178608932
NM_021249	-0.22332999849679525
NM_006815	-0.3654659650637645
NR_029481	-0.44584146795449703
NM_020978	-0.057831887019988135
NM_198505	-0.07733664723590497
NM_004106	-0.14684308133980398
NM_001012428	0.037952345199770116
NM_014298	-0.10480419762755787
NM_152582	-0.1348574159494275
NM_080676	0.035338658956050005
NM_006762	-0.3628547987962131
NM_001025233	0.06708587312298148
NM_017563	-0.13217210383873967
NM_001701	0.07472396568731826
NM_014065	-0.7602554911919924
NM_153620	-0.15757999330713834
NM_001001915	0.038094823580702236
NM_000136	0.3460482752301563
NR_003028	-1.2256526000545378
NM_014930	-0.3617907438634704
NM_000548	-0.04577840420143283
NM_004933	2.1155106036396774
NM_139055	0.030279469388122083
NM_004091	0.3473697667644657
NM_001009899	-0.0478782143837597
NM_005317	-0.14350519694919464
NM_020813	0.05074081615081362
NM_021729	0.3997270005578743
NM_144650	-0.09273037921772262
NM_172139	-0.07779599279663411
NR_029524	0.049534388106018463
NM_000345	0.41363531295021533
NM_198089	-0.26862227589742915
NM_016224	-0.13572707852587265
NM_001296	-0.1116786877565358
NM_001441	0.8471266782568594
NR_029889	-0.07675401575310656
NM_002618	-0.4151536932018205
NM_032933	0.1291185702981942
NM_031491	0.06390481653276843
NM_016131	-1.1474297424112885
NM_001032377	-0.07723025571609025
NM_024572	1.7172885352502891
NM_001099338	0.04576717355455042
NM_001257	-1.2172906212626498
NM_005929	-0.3026926218407935
NM_033260	-1.129033046906693
NM_145297	0.019964083354806983
NR_003057	0.015138277049074068
NM_001014448	-0.034690333868196865
NM_002824	0.9437478588513724
NM_018943	-0.05468700240099915
NM_015072	-0.3492400716497595
NM_138962	-0.7060611023227028
NM_198976	-0.34146265156793465
NM_001033555	-0.8359286590955147
NM_003362	0.2396628084129523
NM_130785	-0.0661793902279203
NM_004464	0.019834958048042767
NM_017791	0.12925488266564672
NM_001076785	-1.033314132590724
NM_013960	-0.1254163619169214
NR_003238	0.16261377963097273
NM_005467	-2.0873320977993237
NM_001584	0.36770208129298976
NM_001040172	0.3924961121502505
NM_004641	-0.6014809159628973
NM_020949	-0.04282089757650535
